[I 240516 11:16:30 stock:51] on open
[I 240516 11:16:57 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6501112, 'exchange_timestamp': 1715838418000, 'last_traded_price': 4744970, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:58 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6501388, 'exchange_timestamp': 1715838419000, 'last_traded_price': 4744795, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:59 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6501824, 'exchange_timestamp': 1715838419000, 'last_traded_price': 4745170, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:59 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6502095, 'exchange_timestamp': 1715838420000, 'last_traded_price': 4745135, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:00 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6502541, 'exchange_timestamp': 1715838420000, 'last_traded_price': 4745400, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:00 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6502824, 'exchange_timestamp': 1715838421000, 'last_traded_price': 4744945, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:00 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6503268, 'exchange_timestamp': 1715838421000, 'last_traded_price': 4745145, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:01 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6503544, 'exchange_timestamp': 1715838422000, 'last_traded_price': 4745015, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:01 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6503975, 'exchange_timestamp': 1715838422000, 'last_traded_price': 4745100, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:02 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6504272, 'exchange_timestamp': 1715838423000, 'last_traded_price': 4744915, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:03 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6504702, 'exchange_timestamp': 1715838423000, 'last_traded_price': 4745030, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:03 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6504984, 'exchange_timestamp': 1715838424000, 'last_traded_price': 4745105, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:04 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6505482, 'exchange_timestamp': 1715838424000, 'last_traded_price': 4744930, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:04 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6505770, 'exchange_timestamp': 1715838425000, 'last_traded_price': 4745070, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:04 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6506188, 'exchange_timestamp': 1715838425000, 'last_traded_price': 4745030, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:05 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6506495, 'exchange_timestamp': 1715838426000, 'last_traded_price': 4745120, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:05 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6506933, 'exchange_timestamp': 1715838426000, 'last_traded_price': 4745070, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:06 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6507224, 'exchange_timestamp': 1715838427000, 'last_traded_price': 4745130, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:07 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6507654, 'exchange_timestamp': 1715838427000, 'last_traded_price': 4745300, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:07 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6507933, 'exchange_timestamp': 1715838428000, 'last_traded_price': 4744955, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:08 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6508330, 'exchange_timestamp': 1715838428000, 'last_traded_price': 4745005, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:08 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6508634, 'exchange_timestamp': 1715838429000, 'last_traded_price': 4745550, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:08 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6509112, 'exchange_timestamp': 1715838429000, 'last_traded_price': 4745405, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:09 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6509415, 'exchange_timestamp': 1715838430000, 'last_traded_price': 4745395, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:10 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6509831, 'exchange_timestamp': 1715838430000, 'last_traded_price': 4745525, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:10 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6510138, 'exchange_timestamp': 1715838431000, 'last_traded_price': 4745325, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:11 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6510529, 'exchange_timestamp': 1715838431000, 'last_traded_price': 4745240, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:11 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6510839, 'exchange_timestamp': 1715838432000, 'last_traded_price': 4745290, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:12 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6511254, 'exchange_timestamp': 1715838432000, 'last_traded_price': 4745585, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:12 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6511556, 'exchange_timestamp': 1715838433000, 'last_traded_price': 4745680, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:13 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6511967, 'exchange_timestamp': 1715838433000, 'last_traded_price': 4745615, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:13 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6512274, 'exchange_timestamp': 1715838434000, 'last_traded_price': 4745495, 'subscription_mode_val': 'LTP'}
[I 240516 11:17:14 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6512742, 'exchange_timestamp': 1715838434000, 'last_traded_price': 4745600, 'subscription_mode_val': 'LTP'}
[I 240516 12:18:33 stock:51] on open
[I 240516 12:18:34 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '5102', 'sequence_number': 31993, 'exchange_timestamp': 1715823479846, 'last_traded_price': 0, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:16 stock:51] on open
[I 240516 12:19:16 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9201451, 'exchange_timestamp': 1715842156000, 'last_traded_price': 4777755, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:16 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9201797, 'exchange_timestamp': 1715842157000, 'last_traded_price': 4777575, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:17 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9202112, 'exchange_timestamp': 1715842157000, 'last_traded_price': 4777575, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:17 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9202114, 'exchange_timestamp': 1715842157000, 'last_traded_price': 4777575, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:17 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9202154, 'exchange_timestamp': 1715842157000, 'last_traded_price': 4777575, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:17 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9202190, 'exchange_timestamp': 1715842157000, 'last_traded_price': 4777575, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:17 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9202198, 'exchange_timestamp': 1715842157000, 'last_traded_price': 4777575, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:17 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9202240, 'exchange_timestamp': 1715842157000, 'last_traded_price': 4777575, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:17 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9202324, 'exchange_timestamp': 1715842157000, 'last_traded_price': 4777595, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:17 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9202661, 'exchange_timestamp': 1715842158000, 'last_traded_price': 4777645, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:18 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9202978, 'exchange_timestamp': 1715842158000, 'last_traded_price': 4777650, 'subscription_mode_val': 'LTP'}
